Video,Second,L_C,L_A,R_C,R_A
AAKTSE1,3.618285248079975e-15,114.55711278622347,653.2603809758139,101.0046619418179,-663.7403467
AAKTSE1,4.3871394541630555e-15,114.15725644265738,947.9288837646078,91.17044501880065,-692.6659572
AAKTSE1,5.155993660246136e-15,80.34295565,993.3073865534008,111.89511698467143,-695.5953052
AAKTSE1,5.924847866329217e-15,25.306432644413196,951.0047782310832,99.65090006165427,-688.9613198
AAKTSE1,6.6937020724122975e-15,2.348798523069102,1003.1143921309874,112.40223869419205,-686.5384455
AAKTSE1,7.462556278495378e-15,-61.71994671,793.1262282531142,107.22579954895181,-688.053349
AAKTSE1,8.231410484578459e-15,20.626863613713866,819.5713977085743,107.70491595926762,-710.9371414
AAKTSE1,9.000264690661541e-15,66.56034060348077,1005.1221227195899,96.42625459180543,-727.4520449
AAKTSE1,-4.44E-15,-14.60062685,895.6761810639392,100.14981544656622,-726.9380595
AAKTSE1,-3.67E-15,-29.18826097,909.5302394082876,143.1567096,-864.7096297
AAKTSE1,-2.90E-15,-63.19922843,901.6154089,122.17693715608578,-831.9000888
AAKTSE1,-2.14E-15,19.389804118104294,847.1261338747637,61.05494246,-592.6938812
AAKTSE1,1.2844535721076968e-14,30.912169996759623,627.8424144413348,43.41739219893938,-630.2287847
AAKTSE1,1.3613389927160047e-14,87.10675809763747,408.7086950079063,55.09650860925517,-775.2436882
AAKTSE1,1.4382244133243133e-14,87.96467953184901,305.41942001892164,168.30784724179298,-578.3274806
AAKTSE1,1.515109833932621e-14,58.85815652161584,-52.47207719,52.209185874330764,-362.7001618
AAKTSE1,1.591995254540929e-14,57.260522400271576,-213.05913,39.49941339575753,110.1504902
AAKTSE1,1.668880675149237e-14,36.92056504660416,-281.6605262,245.07186313940636,327.3411422772614
AAKTSE1,1.7457660957575452e-14,14.253031935361234,-299.6176799,267.72320177194416,124.64179433094965
AAKTSE1,1.8226515163658533e-14,15.442064480683438,-322.948066,47.49898484892692,-112.3342203
AAKTSE1,1.8995369369741617e-14,11.736652581561353,-333.9395632,-90.85967652,-78.65467934
AAKTSE1,5.553368860622716e-15,2.1901295713283404,-353.1710605,-135.8105601,-90.12291617
AAKTSE1,6.3222230667057956e-15,-8.55750455,-372.2725577,-298.844777,-308.511153
AAKTSE1,7.091077272788877e-15,40.11708355,-363.5018327,-172.6523273,-105.8071676
AAKTSE1,7.859931478871958e-15,61.799449429517914,-360.9388854,-87.21209977,183.1090399864099
AAKTSE1,8.628785684955038e-15,49.25737086,-361.2470493,-152.59965,205.91080315120863
AAKTSE1,9.397639891038119e-15,162.1152922979407,-328.3752132,-159.2494225,321.3803440937855
AAKTSE1,1.01664940971212e-14,254.3287692877076,-244.1311548,-53.37697276,269.25099614747336
AAKTSE1,1.093534830320428e-14,306.91335738858544,-209.9215409,-26.02452301,111.6994259789391
AAKTSE1,1.170420250928736e-14,342.9135010450194,-278.4774826,46.10570450763902,282.50674469929294
AAKTSE1,1.2473056715370442e-14,194.58808914589721,-200.1100909,123.27148758462162,470.20295230853674
AAKTSE1,1.3241910921453522e-14,59.143788357886116,-223.0960326,162.3983817727154,451.43915991778056
AAKTSE1,1.4010765127536603e-14,38.61726534765304,-203.8675298,89.15305373858685,265.57092308257904
AAKTSE1,5.687646184177053e-16,112.05407567075292,-200.539027,124.83217014890201,420.96490846960023
